id;code;date;details;status;payment_method;payment_date;payment_amount
1;Texas Focused;2021-05-26T12:24:34;Loop;CANCELLED;PAYPAL;2021-05-26T06:44:59;22604
2;calculating;2021-05-26T12:52:57;haptic 1080p;ISSUED;PAYPAL;2021-05-26T00:06:37;10489
3;national Frozen Berkshire;2021-05-26T13:07:47;Account Borders Home;PAID;CREDIT_CARD;2021-05-26T03:50:38;36325
4;monitor;2021-05-25T23:10:23;parse intuitive Division;CANCELLED;PAYPAL;2021-05-26T00:45:24;13687
5;synergy transmitting;2021-05-25T23:12:38;parse Gloves;ISSUED;PAYPAL;2021-05-26T07:49:16;92472
6;function;2021-05-26T04:06:06;Fresh;CANCELLED;CASH_ON_DELIVERY;2021-05-26T15:13:07;26944
7;Maine;2021-05-26T14:32:29;RAM;ISSUED;PAYPAL;2021-05-26T19:34:21;32458
8;Analyst Agent;2021-05-26T18:27:11;Awesome Salad compressing;ISSUED;CASH_ON_DELIVERY;2021-05-26T15:28:53;79389
9;Salad;2021-05-26T00:35:53;Gorgeous;ISSUED;CREDIT_CARD;2021-05-26T09:22:17;62169
10;Pants Wooden Intuitive;2021-05-26T09:59:50;array Arizona Vermont;CANCELLED;CASH_ON_DELIVERY;2021-05-26T05:54:27;58737
