id;placed_date;status;code;invoice_id;customer_id
1;2021-05-26T11:55:49;COMPLETED;Electronics;57858;1
2;2021-05-26T15:33:49;CANCELLED;withdrawal virtual;42917;2
3;2021-05-25T22:36:09;COMPLETED;compress Soft cross-platform;960;1
4;2021-05-26T08:45:41;COMPLETED;Expanded;88753;1
5;2021-05-26T04:53:51;CANCELLED;Hat;10576;1
6;2021-05-26T05:32:37;PENDING;Regional harness Holy;55347;1
7;2021-05-25T21:33:24;COMPLETED;Decentralized Visionary;88231;1
8;2021-05-25T23:52:23;COMPLETED;Credit Soft Cotton;23331;2
9;2021-05-26T03:20:49;PENDING;Implemented;30578;2
10;2021-05-26T15:32:42;PENDING;solution protocol;72463;1
